hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 60.00000, 2520.87, -0.0219479, 0, 0, 0, 0, 0, 0
0, 120.00000, 2520.87, -0.0219054, 0, 0, 0, 0, 0, 0
0, 180.00000, 2520.88, -0.0218629, 0, 0, 0, 0, 0, 0
0, 240.00000, 2520.88, -0.0218204, 0, 0, 0, 0, 0, 0
0, 300.00000, 2520.88, -0.021778, 0, 0, 0, 0, 0, 0
0, 360.00000, 2520.88, -0.0217355, 0, 0, 0, 0, 0, 0
0, 420.00000, 2520.88, -0.021693, 0, 0, 0, 0, 0, 0
0, 480.00000, 2520.89, -0.0216506, 0, 0, 0, 0, 0, 0
0, 540.00000, 2520.89, -0.0216081, 0, 0, 0, 0, 0, 0
0, 600.00000, 2520.89, -0.0215657, 0, 0, 0, 0, 0, 0
0, 660.00000, 2520.89, -0.0215232, 0, 0, 0, 0, 0, 0
0, 720.00000, 2520.9, -0.0214808, 0, 0, 0, 0, 0, 0
0, 780.00000, 2520.9, -0.0214383, 0, 0, 0, 0, 0, 0
0, 840.00000, 2520.9, -0.0213959, 0, 0, 0, 0, 0, 0
0, 900.00000, 2520.9, -0.0213534, 0, 0, 0, 0, 0, 0
0, 960.00000, 2520.9, -0.021311, 0, 0, 0, 0, 0, 0
0, 1020.00000, 2520.91, -0.0212686, 0, 0, 0, 0, 0, 0
0, 1080.00000, 2520.91, -0.0212261, 0, 0, 0, 0, 0, 0
0, 1140.00000, 2520.91, -0.0211837, 0, 0, 0, 0, 0, 0
0, 1200.00000, 2520.91, -0.0211413, 0, 0, 0, 0, 0, 0
0, 1260.00000, 2520.91, -0.0210989, 0, 0, 0, 0, 0, 0
0, 1320.00000, 2520.92, -0.0210564, 0, 0, 0, 0, 0, 0
0, 1380.00000, 2520.92, -0.021014, 0, 0, 0, 0, 0, 0
0, 1440.00000, 2520.92, -0.0209716, 0, 0, 0, 0, 0, 0
0, 1500.00000, 2520.92, -0.0209292, 0, 0, 0, 0, 0, 0
0, 1560.00000, 2520.92, -0.0208868, 0, 0, 0, 0, 0, 0
0, 1620.00000, 2520.93, -0.0208444, 0, 0, 0, 0, 0, 0
0, 1680.00000, 2520.93, -0.020802, 0, 0, 0, 0, 0, 0
0, 1740.00000, 2520.93, -0.0207596, 0, 0, 0, 0, 0, 0
0, 1800.00000, 2520.93, -0.0207172, 0, 0, 0, 0, 0, 0
0, 1860.00000, 2520.93, -0.0206748, 0, 0, 0, 0, 0, 0
0, 1920.00000, 2520.94, -0.0206324, 0, 0, 0, 0, 0, 0
0, 1980.00000, 2520.94, -0.02059, 0, 0, 0, 0, 0, 0
0, 2040.00000, 2520.94, -0.0205476, 0, 0, 0, 0, 0, 0
0, 2100.00000, 2520.94, -0.0205052, 0, 0, 0, 0, 0, 0
0, 2160.00000, 2520.94, -0.0204628, 0, 0, 0, 0, 0, 0
0, 2220.00000, 2520.95, -0.0204204, 0, 0, 0, 0, 0, 0
0, 2280.00000, 2520.95, -0.0203781, 0, 0, 0, 0, 0, 0
0, 2340.00000, 2520.95, -0.0203357, 0, 0, 0, 0, 0, 0
0, 2400.00000, 2520.95, -0.0202933, 0, 0, 0, 0, 0, 0
0, 2460.00000, 2520.95, -0.020251, 0, 0, 0, 0, 0, 0
0, 2520.00000, 2520.96, -0.0202086, 0, 0, 0, 0, 0, 0
0, 2580.00000, 2520.96, -0.0201662, 0, 0, 0, 0, 0, 0
0, 2640.00000, 2520.96, -0.0201239, 0, 0, 0, 0, 0, 0
0, 2700.00000, 2520.96, -0.0200815, 0, 0, 0, 0, 0, 0
0, 2760.00000, 2520.96, -0.0200391, 0, 0, 0, 0, 0, 0
0, 2820.00000, 2520.97, -0.0199968, 0, 0, 0, 0, 0, 0
0, 2880.00000, 2520.97, -0.0199544, 0, 0, 0, 0, 0, 0
0, 2940.00000, 2520.97, -0.0199121, 0, 0, 0, 0, 0, 0
0, 3000.00000, 2520.97, -0.0198697, 0, 0, 0, 0, 0, 0
0, 3060.00000, 2520.97, -0.0198274, 0, 0, 0, 0, 0, 0
0, 3120.00000, 2520.98, -0.0197851, 0, 0, 0, 0, 0, 0
0, 3180.00000, 2520.98, -0.0197427, 0, 0, 0, 0, 0, 0
0, 3240.00000, 2520.98, -0.0197004, 0, 0, 0, 0, 0, 0
0, 3300.00000, 2520.98, -0.0196581, 0, 0, 0, 0, 0, 0
0, 3360.00000, 2520.98, -0.0196157, 0, 0, 0, 0, 0, 0
0, 3420.00000, 2520.99, -0.0195734, 0, 0, 0, 0, 0, 0
0, 3480.00000, 2520.99, -0.0195311, 0, 0, 0, 0, 0, 0
0, 3540.00000, 2520.99, -0.0194888, 0, 0, 0, 0, 0, 0
1, 0.00000, 2520.99, -0.0194464, 0, 0, 0, 0, 0, 0
1, 60.00000, 2520.99, -0.0195809, 0, 0, 0, 0, 0, 0
1, 120.00000, 2520.98, -0.0197166, 0, 0, 0, 0, 0, 0
1, 180.00000, 2520.97, -0.0198523, 0, 0, 0, 0, 0, 0
1, 240.00000, 2520.97, -0.0199881, 0, 0, 0, 0, 0, 0
1, 300.00000, 2520.96, -0.0201239, 0, 0, 0, 0, 0, 0
1, 360.00000, 2520.95, -0.0202597, 0, 0, 0, 0, 0, 0
1, 420.00000, 2520.95, -0.0203955, 0, 0, 0, 0, 0, 0
1, 480.00000, 2520.94, -0.0205314, 0, 0, 0, 0, 0, 0
1, 540.00000, 2520.93, -0.0206673, 0, 0, 0, 0, 0, 0
1, 600.00000, 2520.93, -0.0208033, 0, 0, 0, 0, 0, 0
1, 660.00000, 2520.92, -0.0209392, 0, 0, 0, 0, 0, 0
1, 720.00000, 2520.91, -0.0210752, 0, 0, 0, 0, 0, 0
1, 780.00000, 2520.91, -0.0212112, 0, 0, 0, 0, 0, 0
1, 840.00000, 2520.9, -0.0213473, 0, 0, 0, 0, 0, 0
1, 900.00000, 2520.89, -0.0214834, 0, 0, 0, 0, 0, 0
1, 960.00000, 2520.89, -0.0216195, 0, 0, 0, 0, 0, 0
1, 1020.00000, 2520.88, -0.0217556, 0, 0, 0, 0, 0, 0
1, 1080.00000, 2520.88, -0.0218918, 0, 0, 0, 0, 0, 0
1, 1140.00000, 2520.87, -0.0220279, 0, 0, 0, 0, 0, 0
1, 1200.00000, 2520.86, -0.0221642, 0, 0, 0, 0, 0, 0
1, 1260.00000, 2520.86, -0.0223004, 0, 0, 0, 0, 0, 0
1, 1320.00000, 2520.85, -0.0224367, 0, 0, 0, 0, 0, 0
1, 1380.00000, 2520.84, -0.022573, 0, 0, 0, 0, 0, 0
1, 1440.00000, 2520.84, -0.0227093, 0, 0, 0, 0, 0, 0
1, 1500.00000, 2520.83, -0.0228457, 0, 0, 0, 0, 0, 0
1, 1560.00000, 2520.82, -0.0229821, 0, 0, 0, 0, 0, 0
1, 1620.00000, 2520.82, -0.0231185, 0, 0, 0, 0, 0, 0
1, 1680.00000, 2520.81, -0.0232549, 0, 0, 0, 0, 0, 0
1, 1740.00000, 2520.8, -0.0233914, 0, 0, 0, 0, 0, 0
1, 1800.00000, 2520.8, -0.0235279, 0, 0, 0, 0, 0, 0
1, 1860.00000, 2520.79, -0.0236645, 0, 0, 0, 0, 0, 0
1, 1920.00000, 2520.78, -0.023801, 0, 0, 0, 0, 0, 0
1, 1980.00000, 2520.78, -0.0239376, 0, 0, 0, 0, 0, 0
1, 2040.00000, 2520.77, -0.0240743, 0, 0, 0, 0, 0, 0
1, 2100.00000, 2520.76, -0.0242109, 0, 0, 0, 0, 0, 0
1, 2160.00000, 2520.76, -0.0243476, 0, 0, 0, 0, 0, 0
1, 2220.00000, 2520.75, -0.0244843, 0, 0, 0, 0, 0, 0
1, 2280.00000, 2520.74, -0.0246211, 0, 0, 0, 0, 0, 0
1, 2340.00000, 2520.74, -0.0247578, 0, 0, 0, 0, 0, 0
1, 2400.00000, 2520.73, -0.0248946, 0, 0, 0, 0, 0, 0
1, 2460.00000, 2520.72, -0.0250315, 0, 0, 0, 0, 0, 0
1, 2520.00000, 2520.72, -0.0251683, 0, 0, 0, 0, 0, 0
1, 2580.00000, 2520.71, -0.0253052, 0, 0, 0, 0, 0, 0
1, 2640.00000, 2520.7, -0.0254421, 0, 0, 0, 0, 0, 0
1, 2700.00000, 2520.7, -0.0255791, 0, 0, 0, 0, 0, 0
1, 2760.00000, 2520.69, -0.0257161, 0, 0, 0, 0, 0, 0
1, 2820.00000, 2520.68, -0.0258531, 0, 0, 0, 0, 0, 0
1, 2880.00000, 2520.68, -0.0259901, 0, 0, 0, 0, 0, 0
